date,title,source,desc,url,img
2023-05-17,UK watchdog denies it blocked Microsoft deal on orders of US regulator,The Guardian,CEO of Competition and Markets Authority tells MPs decision not to allow acquisition of Activision Blizzard based on 'own analysis',https://www.theguardian.com/business/2023/may/16/uk-watchdog-microsoft-us-regulator-competition-markets-authority-activision-blizzard,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-17,EU Official: CMA Overstated Microsoft's Share in Cloud Gaming Market - News,VGChartz,"Yesterday the European Union regulator, the European Commission, announced it had approved Microsoft's $67.8 billion acquisition of Activision Blizzard [.",https://www.vgchartz.com/article/457194/eu-official-cma-overstated-microsofts-share-in-cloud-gaming-market/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-17,Satya Nadella disputes Elon Musk's claim that Microsoft controls OpenAI,CNBC,"Microsoft CEO Satya Nadella told CNBC on Tuesday that it's ""factually not correct"" to claim that Microsoft controls its partner OpenAI. Tesla CEO Elon Musk,...",https://www.cnbc.com/2023/05/16/nadella-disputes-musks-claims-that-microsoft-controls-openai-.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-16,UK's CMA On The European Commission Approval Of Microsoft And Activision Deal: 'We Stand By Our Decision ...,Benzinga,The U.K. Competition & Markets Authority (CMA) issued a strong response to the European Commission.,https://www.benzinga.com/general/gaming/23/05/32425916/uks-cma-on-the-european-commission-approval-of-microsoft-and-activision-deal-we-stand-by-our-decis,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-16,Will ChatGPT Replace Google? Here's What We Know,The Motley Fool,ChatGPT has made headlines as a viral new technology. The chatbot using artificial intelligence (AI) can not only answer user questions with conversational...,https://www.fool.com/investing/2023/05/16/will-chatgpt-replace-google-heres-what-we-know/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-16,"ServiceNow Joins AI Wave in Partnership With Microsoft, OpenAI",Bloomberg.com,"ServiceNow Inc. unveiled new generative artificial intelligence features for its business applications in a partnership with Microsoft Corp., becoming the...",https://www.bloomberg.com/news/articles/2023-05-16/servicenow-joins-ai-wave-in-partnership-with-microsoft-openai,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-16,Microsoft's Record-Breaking Success: Exploring The Factors Fueling Its Journey Beyond 300 - Microsoft (NASDAQ ...,Benzinga,"Microsoft's acquisition of Activision Blizzard receives EU's endorsement, shifting focus to the UK's decision, which could sway other global players.",https://www.benzinga.com/23/05/32424325/microsofts-record-breaking-success-exploring-the-factors-fueling-its-journey-beyond-300,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-16,CMA denies blocking Microsoft-Activision deal is bad for UK’s reputation; unemployment rises – as it happened,The Guardian,"Turning a blind eye to anti-competitive deals wouldn't improve UK's reputation as good place to do business, suggests Competition and Markets Authority.",https://www.theguardian.com/business/live/2023/may/16/uk-unemployment-rate-rises-company-payrolls-shrink-earnings-cma-ai-business-live,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-16,EU Official Says CMA Overstated Microsoft’s Share in Cloud Gaming Market,Wccftech,An EU official went on record to say that the UK's CMA has overstated Microsoft's supposed cloud gaming market share (60-70%).,https://wccftech.com/eu-official-says-cma-overstated-microsofts-share-in-cloud-gaming-market/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-16,Windows 11 Moment 3 Update: New Features and Improvements for Your PC,Gizchina.com,"Microsoft is working tirelessly to make Windows 11 better, secured and more useful. The company is currently getting prepared to rollout a full packed...",https://www.gizchina.com/2023/05/16/windows-11-moment-3-update-new-features-and-improvements-for-your-pc/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
